HOTA,DetA,AssA,MOTA,IDF1,IDS,FN,FP,smoothing_window,analysis_stride,FPS,p95_ms,mean_imgsz,mean_conf,mean_nms_iou,analysis_interval_seconds,causal_history_span_seconds,feasible
0.33064013219122707,0.21973183200630925,0.5078911270405013,0.18164674437597447,0.36296242459481065,271,46609,8232,7,10,43.947242385619134,41.05921250004485,725.0372452565003,0.21781132809317205,0.4736518059568403,0.3333333333333333,2.0,True
0.32823310083064017,0.21830064889230688,0.5039110500749158,0.18044398247828347,0.35954354254300114,265,46787,8141,9,20,45.08206404321707,40.37444174991833,720.6521433591005,0.21862786657389172,0.47446834443756003,0.6666666666666666,5.333333333333333,True
0.3282321038025275,0.21752593605078763,0.5056760302035067,0.18014700423194002,0.3578466639557071,266,46865,8082,5,20,49.0325433071369,35.262318000263804,721.326774420239,0.21833850560367846,0.47417898346734677,0.6666666666666666,2.6666666666666665,True
0.32978572512907744,0.21780909722357647,0.5097850615803265,0.18005791075803698,0.36109085605950125,269,46821,8129,3,20,48.0533911664557,35.96316799990973,722.0014054813773,0.21809901780550256,0.4739394956691709,0.6666666666666666,1.3333333333333333,True
0.3274452643758652,0.2168015771970983,0.5049633958831135,0.17947880317766723,0.3569489685124864,262,46951,8045,7,20,49.83028651142793,33.81050874986613,719.3028812368236,0.2185284911370495,0.47436896900071784,0.6666666666666666,4.0,True
0.33121084749980395,0.22036784986471708,0.5082197555813511,0.18341376494171802,0.3641894557611246,275,46545,8173,9,5,47.76277251050341,36.29353974986316,725.0372452565003,0.21749638755996947,0.4733368654236378,0.16666666666666666,1.3333333333333333,False
0.330716029936559,0.2210757851769988,0.5053409856406157,0.1832504269062291,0.36387751929951817,281,46454,8269,1,5,45.26440080741888,38.81462799992619,725.2059030217849,0.2173357485583503,0.4731762264220186,0.16666666666666666,0.0,False
0.3298291324846871,0.2209139958429179,0.5030383399801606,0.1827158660628109,0.36209557947517274,275,46464,8301,1,1,34.315515906897254,47.52653075001945,725.2396345748418,0.21724503972695164,0.47308551759061995,0.03333333333333333,0.0,False
0.32979957275065236,0.21993854136625215,0.5051016588129101,0.1827158660628109,0.3604958763421339,281,46527,8232,3,1,36.99967183683061,39.676092250033435,725.0035137034434,0.2172706632782382,0.4731111411419066,0.03333333333333333,0.06666666666666667,False
0.3306245462870925,0.22032282393594996,0.5065740099003576,0.18265647041354222,0.3628157908388235,275,46537,8232,7,5,45.832729724921954,38.41214475016841,725.3745607870695,0.2174640875749543,0.4733045654386226,0.16666666666666666,1.0,False
0.3301072252974848,0.22021348570059263,0.5054236208646136,0.1823297943425644,0.3617372182517867,277,46536,8253,5,1,36.1325359984844,41.40831949996482,724.8348559381589,0.2172842188654871,0.47312469672915536,0.03333333333333333,0.13333333333333333,False
0.3306661093126082,0.22035781486175937,0.5066096298571106,0.18224070086866137,0.3629989939742167,277,46533,8262,5,5,45.676942972843385,37.53793150008278,725.3745607870695,0.21744183501139078,0.473282312875059,0.16666666666666666,0.6666666666666666,False
0.32990758965642814,0.21995729737004718,0.5052716177121772,0.18215160739475833,0.3618132181820069,279,46576,8223,3,15,48.867167354085076,35.61179150000271,724.6999297259312,0.2177078704691662,0.47354834833283455,0.5,1.0,False
0.32993581854336357,0.21999890228861005,0.5053610226354931,0.18213675848244115,0.36162131872237097,275,46564,8240,7,1,36.034851148220135,41.18114149991925,724.6999297259312,0.2172987749554354,0.47313925281910374,0.03333333333333333,0.2,False
0.32893050754706726,0.21994184465730052,0.502528171174108,0.18210706065780682,0.3589062143138924,279,46583,8219,9,1,37.34035895980912,40.97197524981766,724.6999297259312,0.21730947182769936,0.4731499496913677,0.03333333333333333,0.26666666666666666,False
