HOTA,DetA,AssA,MOTA,IDF1,IDS,FN,FP,conf,nms,resolution,FPS,p95_ms
0.36888835120690866,0.2731196372192305,0.5140947040438466,0.1588388150567971,0.41660629020853884,405,38187,18056,0.05,0.7,960,24.811357943529522,82.31483099939396
0.363652741583298,0.27146334716977344,0.5052392748824657,0.17336105130299206,0.407531859371928,420,39021,16229,0.1,0.7,960,31.475526009174487,58.40693074947012
0.36331346241418033,0.2700094107970409,0.5067121878530788,0.1837998366619645,0.40850252077939775,450,39561,14956,0.15,0.7,960,36.32855778859109,48.84613449985409
0.3641026152389506,0.268401148487971,0.5111845164015514,0.19348132749276115,0.4088237468579033,451,40173,13691,0.2,0.7,960,38.65176465491361,43.95446074954634
0.36028804067642933,0.2650545962000499,0.5065290019833271,0.20871631153018042,0.40245606364474523,420,41175,11694,0.25,0.7,960,41.634976067245894,42.09680150029271
0.3639347767365625,0.2572952659140913,0.5297476385093514,0.2188581186428094,0.40911057786869126,360,42626,9620,0.3,0.7,960,45.25432728480789,38.32107325024481
0.3564241412734513,0.24818995582059492,0.5252272853906577,0.22591135199346649,0.39780222020611833,318,44202,7611,0.35,0.7,960,45.80668676233276,36.94069274956746
0.3464299063474129,0.23405010425602849,0.525450922589596,0.22297126735466627,0.3842512363159897,277,46053,5999,0.4,0.7,960,48.53405346270516,34.09482249981011
0.32672722412418687,0.2169483626346741,0.5037615539617488,0.21407676887667978,0.3538663745892662,238,48040,4650,0.45,0.7,960,50.99670126860525,33.53281950012388
0.30624783996345234,0.19691710413084137,0.4873184842167191,0.2006533521419556,0.3235956589993857,196,50210,3426,0.5,0.7,960,53.52299121241917,30.85554049971506
