HOTA,DetA,AssA,MOTA,IDF1,IDS,FN,FP,conf,nms,resolution,FPS,p95_ms
0.36141972261159183,0.24826263183079106,0.5389990212612672,0.2307075506719133,0.4071488525395623,266,44269,7273,0.35,0.3,960,47.37556870588169,35.47281075043429
0.3607780195202081,0.24856294140397905,0.5366662938738925,0.2308114930581335,0.40600472764855766,266,44251,7284,0.35,0.35,960,44.78487732481432,38.26294149985188
0.36144491327273853,0.2487378663538864,0.5381843144482891,0.2303660256886183,0.40765477809939754,266,44243,7322,0.35,0.4,960,46.36164694411458,36.44696475021192
0.3613967256809993,0.2486088690150384,0.5383034369540135,0.2297720691959314,0.40750017891648177,266,44242,7363,0.35,0.45,960,44.9931078493469,39.00557749989275
0.36143127020325005,0.2485961100264069,0.5384112377312165,0.22978691810824858,0.40756491515027604,266,44237,7367,0.35,0.5,960,47.429510600954124,34.47146700000303
0.3612792155986016,0.2485998962307768,0.5379448763354465,0.2293266018264162,0.4073124125034488,272,44229,7400,0.35,0.55,960,48.53741796139889,33.37190824981917
0.3579686888063135,0.24852630836173403,0.5289214512434088,0.22867324968446062,0.40020017157563625,281,44219,7445,0.35,0.6,960,47.11170868794299,35.49054650011385
0.35800663865576643,0.24858250049458958,0.528856699378155,0.2280792931917737,0.3996203229296373,303,44197,7485,0.35,0.65,960,47.26786835350996,35.103108499697555
0.3564241412734513,0.24818995582059492,0.5252272853906577,0.22591135199346649,0.39780222020611833,318,44202,7611,0.35,0.7,960,46.57002279596578,37.87172025045038
0.34984882515760496,0.24802868810267273,0.5074655938884467,0.22166456307075508,0.3880311823476202,390,44164,7863,0.35,0.75,960,46.467238333416226,36.24621200015099
0.3464776241261032,0.24626260036620684,0.5017540499926273,0.21174548964288367,0.38072542208579047,467,44138,8480,0.35,0.8,960,46.5841934562457,35.831158999826584
