stage,system,description,MOTA,HOTA,IDF1,DetA,AssA,IDS,FN,FP,FPS,mean_imgsz,mean_conf,mean_nms_iou,RT25
OLD-A0,OLD_A0_BASELINE_DEFAULT,Static detector + default ByteTrack,0.1763308337664266,0.29836691539005333,0.3089190062028798,0.19296047917402204,0.4700459509463074,283,50040,5147,44.085200460411,640.0,0.25,0.4500000000000001,True
OLD-A1,OLD_A1_TUNED_BYTETRACK,Static detector + tuned ByteTrack,0.17802360977058432,0.30863811230955496,0.3285430412682381,0.1978633750436706,0.49013085202853424,217,49371,5768,44.511135307847404,640.0,0.25,0.4500000000000001,True
OLD-A2,OLD_A2_ADAPT_CONF_NMS,Old SCI adaptive confidence/NMS; resolution fixed 640,0.17636053159106096,0.3138388370055007,0.3372706818968501,0.20224218254811033,0.49583647231466044,210,48750,6508,40.65090120049436,640.0,0.21841928446276598,0.4742597623264343,True
OLD-A2R,OLD_A2R_ADAPT_RES_ONLY,Old adaptive resolution only; confidence/NMS static,0.1842453040314797,0.3244560201697886,0.35668938079316037,0.21357295917767483,0.5018742363610522,241,47439,7257,39.561663062023904,721.6640899508081,0.25,0.4500000000000001,True
OLD-A3,OLD_A3_FULL_ACMOT,Full historical Old AC-MOT,0.18164674437597447,0.33064013219122707,0.36296242459481065,0.21973183200630925,0.5078911270405013,271,46609,8232,37.96183895533999,725.0372452565003,0.21781132809317205,0.4736518059568403,True
