HOTA,DetA,AssA,MOTA,IDF1,IDS,FN,FP,conf,nms,resolution,FPS,p95_ms
0.2605442768123384,0.1535362034136825,0.4492662040887803,0.13926794862276337,0.259981583358912,216,53867,3883,0.25,0.7,512,62.73118305283938,26.056541500111052
0.26727596670908843,0.16682570509023398,0.43466053312644953,0.1435147375454748,0.2794107555413226,244,52346,5090,0.25,0.7,544,58.06084182633431,29.195296250122738
0.2776949529951704,0.1786121449704976,0.4376170511940666,0.1567005716831242,0.29189736664415933,240,51191,5361,0.25,0.7,576,57.61123363482273,29.00489824980923
0.2952312900469975,0.18811207979464128,0.47094758232532885,0.16318954636572872,0.315307829516624,266,50259,5830,0.25,0.7,608,55.150735620328064,30.254519499976595
0.3043283128134134,0.19806202562673877,0.47632009981684614,0.1696191253990645,0.3223397770811564,326,49207,6389,0.25,0.7,640,53.524642675433675,32.11093024981437
0.3033649478112992,0.20367236850537732,0.46010493840600747,0.17172767094810304,0.325468208960024,335,48427,7018,0.25,0.7,672,52.58578340802646,31.13799199991263
0.31560976937574836,0.21058248572607394,0.48247009264926577,0.1734946915138466,0.3426394063816088,322,47644,7695,0.25,0.7,704,49.82834876111268,33.59626025030593
0.3180241534526614,0.2173128689314506,0.47573590608823496,0.1776375380503378,0.34495744990740934,366,46792,8224,0.25,0.7,736,48.85730040544576,34.945427500247206
0.3209197382355396,0.22754731237828316,0.46250243941989666,0.18145370851585121,0.3445052253429131,359,45736,9030,0.25,0.7,768,47.3062628477087,36.88430400006837
0.3281965263099654,0.23393639405431496,0.4702750331927432,0.18755661147820923,0.3674156171284635,378,44888,9448,0.25,0.7,800,44.86566679869377,39.07597700015231
0.3353014459253686,0.23995283273535706,0.4792330344682173,0.18923453857004974,0.37016618569011844,413,44194,9994,0.25,0.7,832,45.265663973586875,37.480153500041524
0.34450359254114243,0.2476888378560206,0.49138202281726945,0.1967183903779048,0.37900651257821477,398,43293,10406,0.25,0.7,864,45.25668447255321,36.75585399992087
0.3506868464033877,0.2533918426040463,0.49787050808373445,0.20172247382879205,0.3907855647007257,399,42693,10668,0.25,0.7,896,44.986155093402125,38.174088250116256
0.3510480214877565,0.2599816423029022,0.4858677722932028,0.2066523127180934,0.3969782596159391,416,41828,11184,0.25,0.7,928,42.91027485962058,38.61627750029584
0.36028804067642933,0.2650545962000499,0.5065290019833271,0.20871631153018042,0.40245606364474523,420,41175,11694,0.25,0.7,960,42.0413962316443,40.91249850057466
