frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.43371337893805056,1,easy,0.15,0.7,704,1280,36,0.0,0.0,1.0,0.0,0.0,0.43371337893805056,2304.1693802962104,164.5845629991527
2,0.43371337893805056,0,easy,0.15,0.7,704,1280,38,,,,,,,,150.1739790001011
3,0.43371337893805056,0,easy,0.15,0.7,704,1280,36,,,,,,,,145.09631699911552
4,0.43371337893805056,0,easy,0.15,0.7,704,1280,37,,,,,,,,270.6757750001998
5,0.43371337893805056,0,easy,0.15,0.7,704,1280,36,,,,,,,,681.4839420003409
6,0.43371337893805056,0,easy,0.15,0.7,704,1280,37,,,,,,,,149.26989000014146
7,0.43371337893805056,0,easy,0.15,0.7,704,1280,39,,,,,,,,148.88770200013823
8,0.43371337893805056,0,easy,0.15,0.7,704,1280,39,,,,,,,,149.84914399974514
9,0.43371337893805056,0,easy,0.15,0.7,704,1280,40,,,,,,,,145.8345079990977
10,0.43371337893805056,0,easy,0.15,0.7,704,1280,41,,,,,,,,149.77024300060293
11,0.5471360837485604,1,medium,0.12,0.65,800,1440,39,1.0,0.43902439024390244,1.0,0.0,0.0,0.6605587885590702,2310.7172717549133,221.56829300001846
12,0.5471360837485604,0,medium,0.12,0.65,800,1440,41,,,,,,,,227.33313900062058
13,0.5471360837485604,0,medium,0.12,0.65,800,1440,43,,,,,,,,216.95308999915142
14,0.5471360837485604,0,medium,0.12,0.65,800,1440,41,,,,,,,,223.43188900049427
15,0.5471360837485604,0,medium,0.12,0.65,800,1440,40,,,,,,,,222.62142399995355
16,0.5471360837485604,0,medium,0.12,0.65,800,1440,42,,,,,,,,222.9282640000747
17,0.5471360837485604,0,medium,0.12,0.65,800,1440,42,,,,,,,,215.4633370009833
18,0.5471360837485604,0,medium,0.12,0.65,800,1440,45,,,,,,,,212.12825700058602
19,0.5471360837485604,0,medium,0.12,0.65,800,1440,43,,,,,,,,217.04235499964852
20,0.5471360837485604,0,medium,0.12,0.65,800,1440,45,,,,,,,,210.36759600065125
21,0.5886294307949673,1,medium,0.12,0.65,800,1440,45,1.0,0.4888888888888889,1.0,0.0,0.0,0.6716161248877812,2368.629016622311,221.72528100054478
22,0.5886294307949673,0,medium,0.12,0.65,800,1440,42,,,,,,,,216.8263889998343
