frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.43371337893805056,1,easy,0.15,0.7,704,1280,72,0.0,0.0,1.0,0.0,0.0,0.43371337893805056,3212.2600337519625,155.2686459999677
2,0.43371337893805056,0,easy,0.15,0.7,704,1280,76,,,,,,,,153.26419200027885
3,0.43371337893805056,0,easy,0.15,0.7,704,1280,78,,,,,,,,158.82737199899566
4,0.43371337893805056,0,easy,0.15,0.7,704,1280,80,,,,,,,,280.19612999923993
5,0.43371337893805056,0,easy,0.15,0.7,704,1280,80,,,,,,,,988.9053059996513
6,0.43371337893805056,0,easy,0.15,0.7,704,1280,83,,,,,,,,160.18798900040565
7,0.43371337893805056,0,easy,0.15,0.7,704,1280,80,,,,,,,,162.8698490003444
8,0.43371337893805056,0,easy,0.15,0.7,704,1280,83,,,,,,,,168.16463500072132
9,0.43371337893805056,0,easy,0.15,0.7,704,1280,85,,,,,,,,161.8850150007347
10,0.43371337893805056,0,easy,0.15,0.7,704,1280,85,,,,,,,,155.87549399970158
11,0.514112542833337,1,easy,0.15,0.7,704,1280,85,1.0,0.1411764705882353,1.0,0.0,0.0,0.5945117067286234,3214.121751132541,166.04466999888245
12,0.514112542833337,0,easy,0.15,0.7,704,1280,88,,,,,,,,152.59354400041047
13,0.514112542833337,0,easy,0.15,0.7,704,1280,90,,,,,,,,154.25701400090475
14,0.514112542833337,0,easy,0.15,0.7,704,1280,86,,,,,,,,155.73506399960024
15,0.514112542833337,0,easy,0.15,0.7,704,1280,89,,,,,,,,153.7346509994677
16,0.514112542833337,0,easy,0.15,0.7,704,1280,87,,,,,,,,153.32635999948252
17,0.514112542833337,0,easy,0.15,0.7,704,1280,83,,,,,,,,152.02735400089296
18,0.514112542833337,0,easy,0.15,0.7,704,1280,87,,,,,,,,161.876709000353
19,0.514112542833337,0,easy,0.15,0.7,704,1280,83,,,,,,,,159.966314000485
20,0.514112542833337,0,easy,0.15,0.7,704,1280,79,,,,,,,,203.44109300094715
21,0.5351553005792903,1,medium,0.12,0.65,800,1440,76,1.0,0.06329113924050633,1.0,0.0,0.0,0.577240816071197,3219.1148198980727,271.24008200007665
22,0.5351553005792903,0,medium,0.12,0.65,800,1440,78,,,,,,,,312.6163020006061
23,0.5351553005792903,0,medium,0.12,0.65,800,1440,80,,,,,,,,284.1342600004282
24,0.5351553005792903,0,medium,0.12,0.65,800,1440,80,,,,,,,,276.89442399969266
25,0.5351553005792903,0,medium,0.12,0.65,800,1440,81,,,,,,,,270.4326509992825
26,0.5351553005792903,0,medium,0.12,0.65,800,1440,79,,,,,,,,284.0958329998102
27,0.5351553005792903,0,medium,0.12,0.65,800,1440,82,,,,,,,,292.06812499978696
28,0.5351553005792903,0,medium,0.12,0.65,800,1440,83,,,,,,,,288.6933370009501
29,0.5351553005792903,0,medium,0.12,0.65,800,1440,81,,,,,,,,273.7012819998199
30,0.5351553005792903,0,medium,0.12,0.65,800,1440,80,,,,,,,,280.82249500039325
31,0.5470187440614915,1,medium,0.12,0.65,800,1440,82,1.0,0.0875,1.0,0.0,0.0,0.5826090745080954,3250.985336827079,303.20545100039453
32,0.5470187440614915,0,medium,0.12,0.65,800,1440,81,,,,,,,,282.92399599922646
33,0.5470187440614915,0,medium,0.12,0.65,800,1440,79,,,,,,,,295.6101910003781
34,0.5470187440614915,0,medium,0.12,0.65,800,1440,79,,,,,,,,299.6209100001579
