frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.43371337893805056,1,easy,0.15,0.7,704,1280,19,0.0,0.0,1.0,0.0,0.0,0.43371337893805056,984.0089285714288,147.60765400023956
2,0.43371337893805056,0,easy,0.15,0.7,704,1280,21,,,,,,,,133.0050910000864
3,0.43371337893805056,0,easy,0.15,0.7,704,1280,20,,,,,,,,131.08831499994267
4,0.43371337893805056,0,easy,0.15,0.7,704,1280,18,,,,,,,,130.6568519994471
5,0.43371337893805056,0,easy,0.15,0.7,704,1280,20,,,,,,,,152.14653200018802
6,0.43371337893805056,0,easy,0.15,0.7,704,1280,18,,,,,,,,131.33366600050067
7,0.43371337893805056,0,easy,0.15,0.7,704,1280,24,,,,,,,,239.0264589994331
8,0.43371337893805056,0,easy,0.15,0.7,704,1280,21,,,,,,,,1308.0379339990031
9,0.43371337893805056,0,easy,0.15,0.7,704,1280,20,,,,,,,,131.85631500164163
10,0.43371337893805056,0,easy,0.15,0.7,704,1280,24,,,,,,,,130.95695799893292
11,0.5825250938443832,1,medium,0.12,0.65,800,1440,20,0.8,0.875,1.0,0.0,0.0,0.7313368087507159,951.2348827785455,199.93155600059254
12,0.5825250938443832,0,medium,0.12,0.65,800,1440,21,,,,,,,,190.76307800060022
13,0.5825250938443832,0,medium,0.12,0.65,800,1440,23,,,,,,,,201.62215599884803
14,0.5825250938443832,0,medium,0.12,0.65,800,1440,23,,,,,,,,187.9970569989382
15,0.5825250938443832,0,medium,0.12,0.65,800,1440,24,,,,,,,,200.60377700065146
16,0.5825250938443832,0,medium,0.12,0.65,800,1440,28,,,,,,,,194.8139739997714
17,0.5825250938443832,0,medium,0.12,0.65,800,1440,31,,,,,,,,195.0767939997604
18,0.5825250938443832,0,medium,0.12,0.65,800,1440,29,,,,,,,,196.31270300124015
19,0.5825250938443832,0,medium,0.12,0.65,800,1440,30,,,,,,,,202.20979400073702
20,0.5825250938443832,0,medium,0.12,0.65,800,1440,29,,,,,,,,188.93149699943024
