frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.4122652801248001,1,easy,0.15,0.7,704,1280,16,0.0,0.0,0.9505477583703639,0.0,0.0,0.4122652801248001,1123.803756902797,726.7404570002327
2,0.4122652801248001,0,easy,0.15,0.7,704,1280,16,,,,,,,,260.0776400004179
3,0.4122652801248001,0,easy,0.15,0.7,704,1280,16,,,,,,,,283.058625999729
4,0.4122652801248001,0,easy,0.15,0.7,704,1280,16,,,,,,,,533.7461740000435
5,0.4122652801248001,0,easy,0.15,0.7,704,1280,16,,,,,,,,179.67466000027343
6,0.4122652801248001,0,easy,0.15,0.7,704,1280,16,,,,,,,,214.802523999424
7,0.4122652801248001,0,easy,0.15,0.7,704,1280,16,,,,,,,,164.0523119995123
8,0.4122652801248001,0,easy,0.15,0.7,704,1280,17,,,,,,,,162.88968899971223
9,0.4122652801248001,0,easy,0.15,0.7,704,1280,17,,,,,,,,153.7507020002522
10,0.4122652801248001,0,easy,0.15,0.7,704,1280,17,,,,,,,,150.6113440000263
11,0.44074966604972965,1,easy,0.15,0.7,704,1280,16,0.5666666666666667,0.0,0.9127106339918166,0.0,0.0,0.4692340519746591,1103.3793417325167,153.59787000033975
12,0.44074966604972965,0,easy,0.15,0.7,704,1280,16,,,,,,,,154.9874180000188
13,0.44074966604972965,0,easy,0.15,0.7,704,1280,16,,,,,,,,151.38606100026664
14,0.44074966604972965,0,easy,0.15,0.7,704,1280,17,,,,,,,,149.61077799944178
15,0.44074966604972965,0,easy,0.15,0.7,704,1280,16,,,,,,,,145.839566000177
16,0.44074966604972965,0,easy,0.15,0.7,704,1280,17,,,,,,,,147.49834699978237
17,0.44074966604972965,0,easy,0.15,0.7,704,1280,17,,,,,,,,148.8393220006401
18,0.44074966604972965,0,easy,0.15,0.7,704,1280,17,,,,,,,,155.3146589994867
19,0.44074966604972965,0,easy,0.15,0.7,704,1280,18,,,,,,,,150.9642220007663
20,0.44074966604972965,0,easy,0.15,0.7,704,1280,16,,,,,,,,147.26128999973298
21,0.4430810712181091,1,easy,0.15,0.7,704,1280,14,0.5333333333333333,0.0,0.8731136433631044,0.0,0.0,0.447743881554868,998.7493399427051,146.8543100008901
22,0.4430810712181091,0,easy,0.15,0.7,704,1280,13,,,,,,,,143.78926900008082
23,0.4430810712181091,0,easy,0.15,0.7,704,1280,13,,,,,,,,144.65202399969712
24,0.4430810712181091,0,easy,0.15,0.7,704,1280,13,,,,,,,,146.58156800032884
25,0.4430810712181091,0,easy,0.15,0.7,704,1280,15,,,,,,,,143.95674400020653
26,0.4430810712181091,0,easy,0.15,0.7,704,1280,16,,,,,,,,145.08476399987558
27,0.4430810712181091,0,easy,0.15,0.7,704,1280,16,,,,,,,,152.49322099953133
28,0.4430810712181091,0,easy,0.15,0.7,704,1280,17,,,,,,,,147.78508299968962
29,0.4430810712181091,0,easy,0.15,0.7,704,1280,19,,,,,,,,173.74615499920765
30,0.4430810712181091,0,easy,0.15,0.7,704,1280,19,,,,,,,,159.59000600014406
31,0.4604030859709192,1,easy,0.15,0.7,704,1280,19,0.6333333333333333,0.2631578947368421,0.8577148136741607,0.0,0.0,0.5123691302293496,977.8224230622872,152.92416499960382
32,0.4604030859709192,0,easy,0.15,0.7,704,1280,17,,,,,,,,148.21162699990964
33,0.4604030859709192,0,easy,0.15,0.7,704,1280,19,,,,,,,,155.21874300065974
34,0.4604030859709192,0,easy,0.15,0.7,704,1280,20,,,,,,,,149.45047199944383
35,0.4604030859709192,0,easy,0.15,0.7,704,1280,21,,,,,,,,148.39739599938184
36,0.4604030859709192,0,easy,0.15,0.7,704,1280,20,,,,,,,,147.17773099982878
37,0.4604030859709192,0,easy,0.15,0.7,704,1280,21,,,,,,,,164.66008899988083
38,0.4604030859709192,0,easy,0.15,0.7,704,1280,20,,,,,,,,145.70275400001265
39,0.4604030859709192,0,easy,0.15,0.7,704,1280,18,,,,,,,,148.8300410001102
40,0.4604030859709192,0,easy,0.15,0.7,704,1280,20,,,,,,,,144.93144000061875
41,0.4761693137412449,1,easy,0.15,0.7,704,1280,20,0.6666666666666666,0.35,0.8653042368779972,0.0,0.0,0.5392342248225472,924.4261293192009,156.30565599985857
42,0.4761693137412449,0,easy,0.15,0.7,704,1280,21,,,,,,,,147.66720599982364
43,0.4761693137412449,0,easy,0.15,0.7,704,1280,21,,,,,,,,145.88527099931525
44,0.4761693137412449,0,easy,0.15,0.7,704,1280,22,,,,,,,,159.7201260001384
45,0.4761693137412449,0,easy,0.15,0.7,704,1280,21,,,,,,,,150.83465199950297
46,0.4761693137412449,0,easy,0.15,0.7,704,1280,24,,,,,,,,152.62548100054119
47,0.4761693137412449,0,easy,0.15,0.7,704,1280,22,,,,,,,,150.40933699947345
48,0.4761693137412449,0,easy,0.15,0.7,704,1280,22,,,,,,,,147.45044800019969
49,0.4761693137412449,0,easy,0.15,0.7,704,1280,20,,,,,,,,146.36053799949877
50,0.4761693137412449,0,easy,0.15,0.7,704,1280,23,,,,,,,,148.67460299956292
51,0.49376781466026287,1,easy,0.15,0.7,704,1280,23,0.7666666666666667,0.391304347826087,0.9123806590699106,0.0,0.0,0.581760319255353,917.0954466262906,169.05154899995978
52,0.49376781466026287,0,easy,0.15,0.7,704,1280,22,,,,,,,,153.75162199961778
53,0.49376781466026287,0,easy,0.15,0.7,704,1280,24,,,,,,,,153.20864000022993
54,0.49376781466026287,0,easy,0.15,0.7,704,1280,23,,,,,,,,154.64728099959757
55,0.49376781466026287,0,easy,0.15,0.7,704,1280,23,,,,,,,,148.58381300018664
56,0.49376781466026287,0,easy,0.15,0.7,704,1280,22,,,,,,,,156.65883400015446
57,0.49376781466026287,0,easy,0.15,0.7,704,1280,22,,,,,,,,154.13607700065768
58,0.49376781466026287,0,easy,0.15,0.7,704,1280,22,,,,,,,,150.27365000059945
59,0.49376781466026287,0,easy,0.15,0.7,704,1280,21,,,,,,,,150.7534830006989
60,0.49376781466026287,0,easy,0.15,0.7,704,1280,21,,,,,,,,147.3585819994696
61,0.5044065896516399,1,easy,0.15,0.7,704,1280,21,0.7,0.3333333333333333,0.9307492630560078,0.0,0.0,0.5682392395999021,872.2142701718266,155.67632200054504
62,0.5044065896516399,0,easy,0.15,0.7,704,1280,22,,,,,,,,181.64183699991554
63,0.5044065896516399,0,easy,0.15,0.7,704,1280,24,,,,,,,,203.0486359999486
64,0.5044065896516399,0,easy,0.15,0.7,704,1280,24,,,,,,,,219.97075299987046
65,0.5044065896516399,0,easy,0.15,0.7,704,1280,26,,,,,,,,206.5887600001588
66,0.5044065896516399,0,easy,0.15,0.7,704,1280,23,,,,,,,,201.78594899971358
67,0.5044065896516399,0,easy,0.15,0.7,704,1280,24,,,,,,,,201.20924200000445
68,0.5044065896516399,0,easy,0.15,0.7,704,1280,24,,,,,,,,203.33764199949655
69,0.5044065896516399,0,easy,0.15,0.7,704,1280,25,,,,,,,,207.74048600014794
70,0.5044065896516399,0,easy,0.15,0.7,704,1280,24,,,,,,,,209.7331020004276
71,0.53185737493569,1,medium,0.12,0.65,800,1440,23,0.8,0.3333333333333333,0.9843151920454046,0.0,0.0,0.604420777113151,935.4864769877368,444.4579859991791
72,0.53185737493569,0,medium,0.12,0.65,800,1440,23,,,,,,,,288.80461799963086
73,0.53185737493569,0,medium,0.12,0.65,800,1440,24,,,,,,,,750.3709330003403
74,0.53185737493569,0,medium,0.12,0.65,800,1440,25,,,,,,,,332.56174699999974
75,0.53185737493569,0,medium,0.12,0.65,800,1440,25,,,,,,,,430.28175300059956
76,0.53185737493569,0,medium,0.12,0.65,800,1440,26,,,,,,,,497.55629700030113
77,0.53185737493569,0,medium,0.12,0.65,800,1440,26,,,,,,,,204.9835030002214
78,0.53185737493569,0,medium,0.12,0.65,800,1440,25,,,,,,,,226.21214300033898
79,0.53185737493569,0,medium,0.12,0.65,800,1440,26,,,,,,,,207.5198949996775
80,0.53185737493569,0,medium,0.12,0.65,800,1440,26,,,,,,,,214.72055800040835
81,0.5517406957541501,1,medium,0.12,0.65,800,1440,25,0.8666666666666667,0.3076923076923077,0.9867350081393812,0.0,0.0,0.6084172977038795,953.4915553261405,215.88198599965835
82,0.5517406957541501,0,medium,0.12,0.65,800,1440,26,,,,,,,,213.18316599990794
83,0.5517406957541501,0,medium,0.12,0.65,800,1440,24,,,,,,,,215.3859280006145
84,0.5517406957541501,0,medium,0.12,0.65,800,1440,27,,,,,,,,211.033674000646
85,0.5517406957541501,0,medium,0.12,0.65,800,1440,37,,,,,,,,203.2888740004637
86,0.5517406957541501,0,medium,0.12,0.65,800,1440,44,,,,,,,,214.0427800004545
87,0.5517406957541501,0,medium,0.12,0.65,800,1440,54,,,,,,,,204.79335799973342
88,0.5517406957541501,0,medium,0.12,0.65,800,1440,55,,,,,,,,218.21725599966157
89,0.5517406957541501,0,medium,0.12,0.65,800,1440,54,,,,,,,,217.61365500060492
90,0.5517406957541501,0,medium,0.12,0.65,800,1440,57,,,,,,,,215.4624220002006
91,0.5796210146913036,1,medium,0.12,0.65,800,1440,57,1.0,0.45614035087719296,0.9505477583703639,0.0,0.0,0.6429061141149426,939.3264774683869,222.79072200035444
92,0.5796210146913036,0,medium,0.12,0.65,800,1440,57,,,,,,,,237.13299599967286
93,0.5796210146913036,0,medium,0.12,0.65,800,1440,57,,,,,,,,213.69597500051896
94,0.5796210146913036,0,medium,0.12,0.65,800,1440,59,,,,,,,,218.6984449999727
95,0.5796210146913036,0,medium,0.12,0.65,800,1440,58,,,,,,,,212.4103259993717
96,0.5796210146913036,0,medium,0.12,0.65,800,1440,59,,,,,,,,222.65419700033817
97,0.5796210146913036,0,medium,0.12,0.65,800,1440,57,,,,,,,,217.2533340008158
98,0.5796210146913036,0,medium,0.12,0.65,800,1440,62,,,,,,,,214.63740299986966
99,0.5796210146913036,0,medium,0.12,0.65,800,1440,71,,,,,,,,219.80498999982956
100,0.5796210146913036,0,medium,0.12,0.65,800,1440,82,,,,,,,,238.38606099980097
101,0.6065857655876922,1,hard,0.09,0.6,896,1600,95,1.0,0.6219512195121951,1.0,0.0,0.0,0.7011223865040701,1133.8346165691407,330.6129200000214
102,0.6065857655876922,0,hard,0.09,0.6,896,1600,97,,,,,,,,270.4815100005362
103,0.6065857655876922,0,hard,0.09,0.6,896,1600,99,,,,,,,,252.1694410006603
104,0.6065857655876922,0,hard,0.09,0.6,896,1600,100,,,,,,,,254.5634580001206
105,0.6065857655876922,0,hard,0.09,0.6,896,1600,99,,,,,,,,279.44927199951053
106,0.6065857655876922,0,hard,0.09,0.6,896,1600,100,,,,,,,,256.4031840001917
107,0.6065857655876922,0,hard,0.09,0.6,896,1600,102,,,,,,,,247.892552999474
108,0.6065857655876922,0,hard,0.09,0.6,896,1600,103,,,,,,,,271.8559169998116
109,0.6065857655876922,0,hard,0.09,0.6,896,1600,107,,,,,,,,258.6303569996744
110,0.6065857655876922,0,hard,0.09,0.6,896,1600,103,,,,,,,,251.5550930002064
111,0.6321543381313953,1,hard,0.09,0.6,896,1600,104,1.0,0.6990291262135923,1.0,0.0,0.0,0.7182142326284682,1180.7507068567902,256.423597000321
112,0.6321543381313953,0,hard,0.09,0.6,896,1600,105,,,,,,,,258.7428019996878
113,0.6321543381313953,0,hard,0.09,0.6,896,1600,101,,,,,,,,267.6001899999392
114,0.6321543381313953,0,hard,0.09,0.6,896,1600,105,,,,,,,,254.87615700058086
115,0.6321543381313953,0,hard,0.09,0.6,896,1600,102,,,,,,,,256.24466800036316
116,0.6321543381313953,0,hard,0.09,0.6,896,1600,105,,,,,,,,248.85821499992744
117,0.6321543381313953,0,hard,0.09,0.6,896,1600,110,,,,,,,,272.1857390006335
118,0.6321543381313953,0,hard,0.09,0.6,896,1600,110,,,,,,,,253.51375399986864
119,0.6321543381313953,0,hard,0.09,0.6,896,1600,109,,,,,,,,327.14275600028486
120,0.6321543381313953,0,hard,0.09,0.6,896,1600,112,,,,,,,,331.3489860001937
121,0.6518482147473573,1,hard,0.09,0.6,896,1600,110,1.0,0.7053571428571429,1.0,0.0,0.0,0.7196174555670879,1242.07884851374,327.557878999869
122,0.6518482147473573,0,hard,0.09,0.6,896,1600,110,,,,,,,,323.49068599978636
123,0.6518482147473573,0,hard,0.09,0.6,896,1600,110,,,,,,,,340.08723399983865
124,0.6518482147473573,0,hard,0.09,0.6,896,1600,107,,,,,,,,334.88837400000193
