frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.343260220219625,1,easy,0.15,0.7,704,1280,4,0.0,0.0,0.7914448501913853,0.0,0.0,0.343260220219625,629.0309400907126,175.20361199967738
2,0.343260220219625,0,easy,0.15,0.7,704,1280,4,,,,,,,,154.15447800114634
3,0.343260220219625,0,easy,0.15,0.7,704,1280,4,,,,,,,,222.13848600040365
4,0.343260220219625,0,easy,0.15,0.7,704,1280,6,,,,,,,,697.3576090003917
5,0.343260220219625,0,easy,0.15,0.7,704,1280,6,,,,,,,,151.46628200091072
6,0.343260220219625,0,easy,0.15,0.7,704,1280,6,,,,,,,,169.15070800132526
7,0.343260220219625,0,easy,0.15,0.7,704,1280,6,,,,,,,,153.2333999984985
8,0.343260220219625,0,easy,0.15,0.7,704,1280,7,,,,,,,,197.2155150015169
9,0.343260220219625,0,easy,0.15,0.7,704,1280,6,,,,,,,,199.58847999987483
10,0.343260220219625,0,easy,0.15,0.7,704,1280,6,,,,,,,,205.4136139995535
11,0.34809967383539725,1,easy,0.15,0.7,704,1280,6,0.2,0.0,0.7540476923753794,0.0,0.0,0.3529391274511695,562.9365404717475,214.5406509989698
12,0.34809967383539725,0,easy,0.15,0.7,704,1280,6,,,,,,,,194.52844300030847
13,0.34809967383539725,0,easy,0.15,0.7,704,1280,6,,,,,,,,198.65080300041882
14,0.34809967383539725,0,easy,0.15,0.7,704,1280,7,,,,,,,,192.744080999546
15,0.34809967383539725,0,easy,0.15,0.7,704,1280,7,,,,,,,,211.41073500075436
16,0.34809967383539725,0,easy,0.15,0.7,704,1280,8,,,,,,,,195.0205539997114
17,0.34809967383539725,0,easy,0.15,0.7,704,1280,7,,,,,,,,194.0043560007325
18,0.34809967383539725,0,easy,0.15,0.7,704,1280,8,,,,,,,,204.13408999957028
19,0.34809967383539725,0,easy,0.15,0.7,704,1280,6,,,,,,,,205.34697699986282
20,0.34809967383539725,0,easy,0.15,0.7,704,1280,6,,,,,,,,196.7003099998692
21,0.3446839391793777,1,easy,0.15,0.7,704,1280,8,0.2,0.0,0.7192628360244621,0.0,0.0,0.3378524698673384,548.6583974968624,239.4544210001186
22,0.3446839391793777,0,easy,0.15,0.7,704,1280,7,,,,,,,,206.540759998461
23,0.3446839391793777,0,easy,0.15,0.7,704,1280,7,,,,,,,,203.16937499956111
24,0.3446839391793777,0,easy,0.15,0.7,704,1280,7,,,,,,,,214.42893099992943
25,0.3446839391793777,0,easy,0.15,0.7,704,1280,5,,,,,,,,207.7046190006513
26,0.3446839391793777,0,easy,0.15,0.7,704,1280,6,,,,,,,,204.07119700030307
27,0.3446839391793777,0,easy,0.15,0.7,704,1280,6,,,,,,,,204.7056680003152
28,0.3446839391793777,0,easy,0.15,0.7,704,1280,6,,,,,,,,199.5975059999182
29,0.3446839391793777,0,easy,0.15,0.7,704,1280,8,,,,,,,,162.10685800069768
30,0.3446839391793777,0,easy,0.15,0.7,704,1280,9,,,,,,,,160.0431450005999
