frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.43371337893805056,1,easy,0.15,0.7,704,1280,90,0.0,0.0,1.0,0.0,0.0,0.43371337893805056,3239.228188093214,207.8243140003906
2,0.43371337893805056,0,easy,0.15,0.7,704,1280,97,,,,,,,,410.67388899864454
3,0.43371337893805056,0,easy,0.15,0.7,704,1280,100,,,,,,,,301.7363640010444
4,0.43371337893805056,0,easy,0.15,0.7,704,1280,103,,,,,,,,226.1121039991849
5,0.43371337893805056,0,easy,0.15,0.7,704,1280,103,,,,,,,,218.01746399978583
6,0.43371337893805056,0,easy,0.15,0.7,704,1280,93,,,,,,,,215.0697079996462
7,0.43371337893805056,0,easy,0.15,0.7,704,1280,93,,,,,,,,177.44924100043136
8,0.43371337893805056,0,easy,0.15,0.7,704,1280,98,,,,,,,,169.79572299896972
9,0.43371337893805056,0,easy,0.15,0.7,704,1280,103,,,,,,,,159.78932799953327
10,0.43371337893805056,0,easy,0.15,0.7,704,1280,101,,,,,,,,175.5449119991681
11,0.5215127416803328,1,medium,0.12,0.65,800,1440,102,1.0,0.2079207920792079,1.0,0.0,0.0,0.609312104422615,3038.15120754946,210.31378199950268
12,0.5215127416803328,0,medium,0.12,0.65,800,1440,104,,,,,,,,251.13564399907773
13,0.5215127416803328,0,medium,0.12,0.65,800,1440,108,,,,,,,,218.79289699973015
14,0.5215127416803328,0,medium,0.12,0.65,800,1440,109,,,,,,,,227.33040200000687
15,0.5215127416803328,0,medium,0.12,0.65,800,1440,107,,,,,,,,230.07250900082
16,0.5215127416803328,0,medium,0.12,0.65,800,1440,105,,,,,,,,219.85689199937042
17,0.5215127416803328,0,medium,0.12,0.65,800,1440,104,,,,,,,,216.38174799954868
18,0.5215127416803328,0,medium,0.12,0.65,800,1440,106,,,,,,,,237.06121900067956
19,0.5215127416803328,0,medium,0.12,0.65,800,1440,106,,,,,,,,223.6387470002228
20,0.5215127416803328,0,medium,0.12,0.65,800,1440,103,,,,,,,,218.45401099926676
21,0.5490455155413683,1,medium,0.12,0.65,800,1440,100,1.0,0.18446601941747573,1.0,0.0,0.0,0.6041110632634393,3076.3637532864605,243.73844300134806
22,0.5490455155413683,0,medium,0.12,0.65,800,1440,102,,,,,,,,228.6695429993415
23,0.5490455155413683,0,medium,0.12,0.65,800,1440,103,,,,,,,,215.4697309997573
24,0.5490455155413683,0,medium,0.12,0.65,800,1440,100,,,,,,,,234.3544870000187
25,0.5490455155413683,0,medium,0.12,0.65,800,1440,101,,,,,,,,225.4779979994055
26,0.5490455155413683,0,medium,0.12,0.65,800,1440,102,,,,,,,,218.2824020001135
27,0.5490455155413683,0,medium,0.12,0.65,800,1440,102,,,,,,,,221.79010399850085
28,0.5490455155413683,0,medium,0.12,0.65,800,1440,104,,,,,,,,228.52270900148142
29,0.5490455155413683,0,medium,0.12,0.65,800,1440,104,,,,,,,,220.73439599989797
30,0.5490455155413683,0,medium,0.12,0.65,800,1440,102,,,,,,,,221.23165700031677
31,0.5601946636629213,1,medium,0.12,0.65,800,1440,105,1.0,0.13725490196078433,1.0,0.0,0.0,0.5936421080275802,3064.771726541441,233.13401400082512
32,0.5601946636629213,0,medium,0.12,0.65,800,1440,106,,,,,,,,217.76677399975597
33,0.5601946636629213,0,medium,0.12,0.65,800,1440,103,,,,,,,,234.0765150001971
34,0.5601946636629213,0,medium,0.12,0.65,800,1440,108,,,,,,,,220.06424599931051
35,0.5601946636629213,0,medium,0.12,0.65,800,1440,111,,,,,,,,222.58332799901837
36,0.5601946636629213,0,medium,0.12,0.65,800,1440,108,,,,,,,,219.67700800087187
37,0.5601946636629213,0,medium,0.12,0.65,800,1440,111,,,,,,,,222.32129099938902
38,0.5601946636629213,0,medium,0.12,0.65,800,1440,111,,,,,,,,226.7258940009924
39,0.5601946636629213,0,medium,0.12,0.65,800,1440,109,,,,,,,,225.41469499992672
40,0.5601946636629213,0,medium,0.12,0.65,800,1440,115,,,,,,,,221.36302900071314
41,0.5665816834224467,1,medium,0.12,0.65,800,1440,112,1.0,0.13043478260869565,1.0,0.0,0.0,0.5921297624605487,3144.1092190606964,228.7450069998158
42,0.5665816834224467,0,medium,0.12,0.65,800,1440,111,,,,,,,,221.08238199871266
43,0.5665816834224467,0,medium,0.12,0.65,800,1440,111,,,,,,,,224.68310500153166
44,0.5665816834224467,0,medium,0.12,0.65,800,1440,110,,,,,,,,223.9683879997756
45,0.5665816834224467,0,medium,0.12,0.65,800,1440,107,,,,,,,,218.1731540003966
46,0.5665816834224467,0,medium,0.12,0.65,800,1440,119,,,,,,,,220.50666799987084
47,0.5665816834224467,0,medium,0.12,0.65,800,1440,116,,,,,,,,230.82694000004267
48,0.5665816834224467,0,medium,0.12,0.65,800,1440,115,,,,,,,,219.49564500027918
49,0.5665816834224467,0,medium,0.12,0.65,800,1440,114,,,,,,,,230.78545600037614
50,0.5665816834224467,0,medium,0.12,0.65,800,1440,110,,,,,,,,222.27904600003967
51,0.5720667587941689,1,medium,0.12,0.65,800,1440,112,1.0,0.16363636363636364,1.0,0.0,0.0,0.5994921356527795,2975.1216860750033,245.19020700063265
52,0.5720667587941689,0,medium,0.12,0.65,800,1440,105,,,,,,,,241.19517899998755
53,0.5720667587941689,0,medium,0.12,0.65,800,1440,104,,,,,,,,286.1995510011184
54,0.5720667587941689,0,medium,0.12,0.65,800,1440,98,,,,,,,,268.4890809996432
55,0.5720667587941689,0,medium,0.12,0.65,800,1440,95,,,,,,,,276.81725100046606
56,0.5720667587941689,0,medium,0.12,0.65,800,1440,90,,,,,,,,273.11498899871367
57,0.5720667587941689,0,medium,0.12,0.65,800,1440,92,,,,,,,,286.57695399851946
58,0.5720667587941689,0,medium,0.12,0.65,800,1440,91,,,,,,,,283.3181379992311
59,0.5720667587941689,0,medium,0.12,0.65,800,1440,90,,,,,,,,280.123062999337
60,0.5720667587941689,0,medium,0.12,0.65,800,1440,88,,,,,,,,271.3636349999433
61,0.5769206177265541,1,medium,0.12,0.65,800,1440,87,1.0,0.19318181818181818,1.0,0.0,0.0,0.6060437713208658,2939.8310955471425,275.45930800079077
62,0.5769206177265541,0,medium,0.12,0.65,800,1440,87,,,,,,,,262.25204600086727
63,0.5769206177265541,0,medium,0.12,0.65,800,1440,84,,,,,,,,271.4107870015141
64,0.5769206177265541,0,medium,0.12,0.65,800,1440,86,,,,,,,,275.27982399988105
65,0.5769206177265541,0,medium,0.12,0.65,800,1440,86,,,,,,,,269.05118100148684
66,0.5769206177265541,0,medium,0.12,0.65,800,1440,90,,,,,,,,281.49770600066404
67,0.5769206177265541,0,medium,0.12,0.65,800,1440,89,,,,,,,,282.78797100028896
68,0.5769206177265541,0,medium,0.12,0.65,800,1440,90,,,,,,,,223.18274600002042
69,0.5769206177265541,0,medium,0.12,0.65,800,1440,91,,,,,,,,219.5291799998813
70,0.5769206177265541,0,medium,0.12,0.65,800,1440,89,,,,,,,,223.65665500001342
71,0.6014704849885779,1,hard,0.09,0.6,896,1600,91,1.0,0.19101123595505617,1.0,0.0,0.0,0.6055624497722165,3094.992796947773,264.68005400056427
72,0.6014704849885779,0,hard,0.09,0.6,896,1600,92,,,,,,,,245.0984930001141
73,0.6014704849885779,0,hard,0.09,0.6,896,1600,98,,,,,,,,265.31507599975157
74,0.6014704849885779,0,hard,0.09,0.6,896,1600,94,,,,,,,,249.35912000000826
75,0.6014704849885779,0,hard,0.09,0.6,896,1600,99,,,,,,,,240.78343700057303
76,0.6014704849885779,0,hard,0.09,0.6,896,1600,98,,,,,,,,254.59663299989188
77,0.6014704849885779,0,hard,0.09,0.6,896,1600,99,,,,,,,,253.00565199904668
78,0.6014704849885779,0,hard,0.09,0.6,896,1600,101,,,,,,,,236.74260700136074
79,0.6014704849885779,0,hard,0.09,0.6,896,1600,98,,,,,,,,238.81953400086786
80,0.6014704849885779,0,hard,0.09,0.6,896,1600,99,,,,,,,,238.4705770000437
81,0.6012835646900168,1,hard,0.09,0.6,896,1600,99,1.0,0.20202020202020202,1.0,0.0,0.0,0.6080036623326865,3134.0737231906487,246.41130499912833
82,0.6012835646900168,0,hard,0.09,0.6,896,1600,96,,,,,,,,245.20167199989373
83,0.6012835646900168,0,hard,0.09,0.6,896,1600,96,,,,,,,,238.06007900020631
84,0.6012835646900168,0,hard,0.09,0.6,896,1600,94,,,,,,,,238.61082500116026
