frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.43371337893805056,1,easy,0.15,0.7,704,1280,82,0.0,0.0,1.0,0.0,0.0,0.43371337893805056,1511.6024910369993,150.11634599977697
2,0.43371337893805056,0,easy,0.15,0.7,704,1280,87,,,,,,,,163.72249699998065
3,0.43371337893805056,0,easy,0.15,0.7,704,1280,86,,,,,,,,258.6774149986013
4,0.43371337893805056,0,easy,0.15,0.7,704,1280,89,,,,,,,,296.61077600030694
5,0.43371337893805056,0,easy,0.15,0.7,704,1280,85,,,,,,,,153.90077399933944
6,0.43371337893805056,0,easy,0.15,0.7,704,1280,85,,,,,,,,154.54306599895062
7,0.43371337893805056,0,easy,0.15,0.7,704,1280,85,,,,,,,,165.45112799940398
8,0.43371337893805056,0,easy,0.15,0.7,704,1280,89,,,,,,,,154.37602499878267
9,0.43371337893805056,0,easy,0.15,0.7,704,1280,88,,,,,,,,158.08456000013393
10,0.43371337893805056,0,easy,0.15,0.7,704,1280,87,,,,,,,,148.86112400017737
11,0.5851197746978246,1,medium,0.12,0.65,800,1440,88,1.0,0.7816091954022989,1.0,0.0,0.0,0.7365261704575987,1488.1238390860767,205.98394199987524
12,0.5851197746978246,0,medium,0.12,0.65,800,1440,89,,,,,,,,196.6937510005664
13,0.5851197746978246,0,medium,0.12,0.65,800,1440,86,,,,,,,,217.02839700083132
14,0.5851197746978246,0,medium,0.12,0.65,800,1440,88,,,,,,,,199.695030998555
15,0.5851197746978246,0,medium,0.12,0.65,800,1440,88,,,,,,,,203.15210599983402
16,0.5851197746978246,0,medium,0.12,0.65,800,1440,90,,,,,,,,200.10174399976677
17,0.5851197746978246,0,medium,0.12,0.65,800,1440,88,,,,,,,,201.32870599991293
18,0.5851197746978246,0,medium,0.12,0.65,800,1440,87,,,,,,,,216.56102899942198
19,0.5851197746978246,0,medium,0.12,0.65,800,1440,88,,,,,,,,208.30954600023688
20,0.5851197746978246,0,medium,0.12,0.65,800,1440,87,,,,,,,,203.73308499983978
21,0.637287789137029,1,hard,0.09,0.6,896,1600,87,1.0,0.8045977011494253,1.0,0.0,0.0,0.7416238180154378,1504.3865422344154,277.10003399988636
22,0.637287789137029,0,hard,0.09,0.6,896,1600,84,,,,,,,,262.81091300006665
23,0.637287789137029,0,hard,0.09,0.6,896,1600,87,,,,,,,,265.51507099975424
24,0.637287789137029,0,hard,0.09,0.6,896,1600,83,,,,,,,,240.81378799928643
25,0.637287789137029,0,hard,0.09,0.6,896,1600,86,,,,,,,,240.05447800118418
26,0.637287789137029,0,hard,0.09,0.6,896,1600,87,,,,,,,,251.14072200085502
27,0.637287789137029,0,hard,0.09,0.6,896,1600,86,,,,,,,,238.18495399973472
28,0.637287789137029,0,hard,0.09,0.6,896,1600,87,,,,,,,,235.09065699909115
29,0.637287789137029,0,hard,0.09,0.6,896,1600,85,,,,,,,,237.23455300023488
30,0.637287789137029,0,hard,0.09,0.6,896,1600,82,,,,,,,,233.27982000046177
31,0.6633873379650392,1,hard,0.09,0.6,896,1600,84,1.0,0.8048780487804879,1.0,0.0,0.0,0.74168598444907,1523.458800396281,274.185178001062
32,0.6633873379650392,0,hard,0.09,0.6,896,1600,81,,,,,,,,239.97915299878514
33,0.6633873379650392,0,hard,0.09,0.6,896,1600,88,,,,,,,,238.8448599995172
34,0.6633873379650392,0,hard,0.09,0.6,896,1600,89,,,,,,,,244.70155599919963
35,0.6633873379650392,0,hard,0.09,0.6,896,1600,94,,,,,,,,255.92421399960585
36,0.6633873379650392,0,hard,0.09,0.6,896,1600,85,,,,,,,,238.74505999992834
37,0.6633873379650392,0,hard,0.09,0.6,896,1600,90,,,,,,,,239.75196999890613
38,0.6633873379650392,0,hard,0.09,0.6,896,1600,88,,,,,,,,244.6904110001924
39,0.6633873379650392,0,hard,0.09,0.6,896,1600,82,,,,,,,,261.43938499990327
40,0.6633873379650392,0,hard,0.09,0.6,896,1600,87,,,,,,,,311.27065699911327
41,0.6775053397077672,1,hard,0.09,0.6,896,1600,85,1.0,0.7701149425287356,1.0,0.0,0.0,0.7339773466786792,1497.8341048915943,296.92324999996345
42,0.6775053397077672,0,hard,0.09,0.6,896,1600,83,,,,,,,,300.29222200028016
43,0.6775053397077672,0,hard,0.09,0.6,896,1600,84,,,,,,,,336.7206630009605
44,0.6775053397077672,0,hard,0.09,0.6,896,1600,84,,,,,,,,328.663090000191
45,0.6775053397077672,0,hard,0.09,0.6,896,1600,87,,,,,,,,303.0046849999053
46,0.6775053397077672,0,hard,0.09,0.6,896,1600,85,,,,,,,,313.15680499938026
47,0.6775053397077672,0,hard,0.09,0.6,896,1600,82,,,,,,,,304.5420059988828
48,0.6775053397077672,0,hard,0.09,0.6,896,1600,82,,,,,,,,300.60897700059286
49,0.6775053397077672,0,hard,0.09,0.6,896,1600,83,,,,,,,,305.9216909987299
