frame,sci,sci_updated,tier,confidence,nms,input_h,input_w,tracked_boxes,crowd,tiny,edge_norm,night,blur,sci_raw,laplacian_variance,frame_wall_ms
1,0.47727209631993844,1,easy,0.15,0.7,704,1280,21,0.0,0.0,0.9769457521228386,1.0,0.0,0.47727209631993844,1249.9005640173505,197.18308199844614
2,0.47727209631993844,0,easy,0.15,0.7,704,1280,23,,,,,,,,245.58945300123014
3,0.47727209631993844,0,easy,0.15,0.7,704,1280,24,,,,,,,,325.62507600050594
4,0.47727209631993844,0,easy,0.15,0.7,704,1280,23,,,,,,,,150.131299998975
5,0.47727209631993844,0,easy,0.15,0.7,704,1280,23,,,,,,,,150.8281110000098
6,0.47727209631993844,0,easy,0.15,0.7,704,1280,23,,,,,,,,154.71503600019787
7,0.47727209631993844,0,easy,0.15,0.7,704,1280,23,,,,,,,,149.5126549998531
8,0.47727209631993844,0,easy,0.15,0.7,704,1280,24,,,,,,,,151.42312699936156
9,0.47727209631993844,0,easy,0.15,0.7,704,1280,23,,,,,,,,148.87097799874027
10,0.47727209631993844,0,easy,0.15,0.7,704,1280,25,,,,,,,,153.18728200145415
11,0.5850113740517228,1,medium,0.12,0.65,800,1440,23,0.8333333333333334,0.44,1.0,1.0,0.0,0.6927506517835071,1251.3657604114726,202.03990200025146
12,0.5850113740517228,0,medium,0.12,0.65,800,1440,23,,,,,,,,201.34827899892116
13,0.5850113740517228,0,medium,0.12,0.65,800,1440,23,,,,,,,,194.22745700103405
14,0.5850113740517228,0,medium,0.12,0.65,800,1440,24,,,,,,,,200.61252899904503
15,0.5850113740517228,0,medium,0.12,0.65,800,1440,20,,,,,,,,198.8806619992829
16,0.5850113740517228,0,medium,0.12,0.65,800,1440,21,,,,,,,,198.58752499931143
17,0.5850113740517228,0,medium,0.12,0.65,800,1440,21,,,,,,,,199.08322099945508
18,0.5850113740517228,0,medium,0.12,0.65,800,1440,21,,,,,,,,201.93200100038666
19,0.5850113740517228,0,medium,0.12,0.65,800,1440,21,,,,,,,,200.60586200088437
20,0.5850113740517228,0,medium,0.12,0.65,800,1440,21,,,,,,,,200.7103889991413
21,0.6072848706482812,1,hard,0.09,0.6,896,1600,22,0.7,0.3333333333333333,1.0,1.0,0.0,0.651831863841398,1225.08624101976,235.53376300151285
22,0.6072848706482812,0,hard,0.09,0.6,896,1600,21,,,,,,,,243.86058399977628
23,0.6072848706482812,0,hard,0.09,0.6,896,1600,21,,,,,,,,307.71957700017083
24,0.6072848706482812,0,hard,0.09,0.6,896,1600,22,,,,,,,,290.4415920002066
25,0.6072848706482812,0,hard,0.09,0.6,896,1600,24,,,,,,,,305.18610999934026
26,0.6072848706482812,0,hard,0.09,0.6,896,1600,24,,,,,,,,303.09337400103686
27,0.6072848706482812,0,hard,0.09,0.6,896,1600,25,,,,,,,,302.3468810006307
28,0.6072848706482812,0,hard,0.09,0.6,896,1600,24,,,,,,,,292.4315629988996
29,0.6072848706482812,0,hard,0.09,0.6,896,1600,24,,,,,,,,303.27226700137544
